benchmark,task_name,method,timing_mode,budget_unit,atomic_eval_rollouts,mean_online_rollout_equivalents_per_interval,total_online_rollout_equivalents,mean_charged_loop_budget_used,mean_actual_cpu_loop_wall_ms,mean_candidates_per_interval,accounting_scope
self-contained-game-ai,grid-treasure,DLGPR-full,rollout_normalized,rollout-equivalent unit,2,39.14,15656,39.14,74.19627074996242,14.745,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,GA-only,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,103.51038024688023,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,PSO-only,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,34.959476499061566,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,RL-only,rollout_normalized,rollout-equivalent unit,2,39.0,15600,39.0,45.235015750076855,13.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,fixed-split,rollout_normalized,rollout-equivalent unit,2,39.0,15600,39.0,55.15925274827168,12.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,greedy-improvement,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,105.69925799863995,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,robust-DLGPR,rollout_normalized,rollout-equivalent unit,5,36.0,14400,36.0,43.92877524951473,5.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,grid-treasure,robust-near-elite-DLGPR,rollout_normalized,rollout-equivalent unit,5,39.72,15888,39.72,59.23185525025474,7.7575,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,DLGPR-full,rollout_normalized,rollout-equivalent unit,2,39.1175,15647,39.1175,54.23865575081436,14.915,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,GA-only,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,80.76781924915849,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,PSO-only,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,23.599580999434693,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,RL-only,rollout_normalized,rollout-equivalent unit,2,39.0,15600,39.0,24.899861251324182,13.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,fixed-split,rollout_normalized,rollout-equivalent unit,2,39.0,15600,39.0,36.66222924919566,12.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,greedy-improvement,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,81.49254799849587,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,robust-DLGPR,rollout_normalized,rollout-equivalent unit,5,36.0,14400,36.0,26.68890225191717,5.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-game-ai,line-duel,robust-near-elite-DLGPR,rollout_normalized,rollout-equivalent unit,5,39.4225,15769,39.4225,37.887607248994755,7.3375,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,DLGPR-full,rollout_normalized,rollout-equivalent unit,2,39.235,15694,39.235,84.89719349949155,12.5925,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,GA-only,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,131.3154982503329,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,PSO-only,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,57.26285325028584,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,RL-only,rollout_normalized,rollout-equivalent unit,2,39.0,15600,39.0,68.36205825020443,13.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,fixed-split,rollout_normalized,rollout-equivalent unit,2,39.0,15600,39.0,77.0728584988683,12.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,greedy-improvement,rollout_normalized,rollout-equivalent unit,2,40.0,16000,40.0,127.4777687479218,20.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,robust-DLGPR,rollout_normalized,rollout-equivalent unit,5,36.0,14400,36.0,59.367356001603184,5.0,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
self-contained-rts-micro,resource-defense,robust-near-elite-DLGPR,rollout_normalized,rollout-equivalent unit,5,39.67,15868,39.67,78.70661949986243,7.72,"Online atomic evaluation, RL training, and RL-to-population injection rollouts. Module initialization and final incumbent evaluation are disclosed offline work."
